nombre_alumno,guia,coguia_comision,anio_publicacion,nombre_tesis,link_repositorio
"Astorga Rocha, Nicolás Javier","Estévez Valencia, Pablo Antonio","Huijse Heise, Pablo Andrés; Cabrera Vives, Guillermo Felipe; Silva Sánchez, Jorge Felipe",2021,Modelos generativos-inferenciales: teoría y aplicaciones,https://repositorio.uchile.cl/handle/2250/183959
"Astorga Rocha, Nicolás Javier","Estévez Valencia, Pablo","Hitschfeld Kahler, Nancy; Huijse Heise, Pablo; Bravo Márquez, Felipe; Cabrera Vives, Guillermo; Forster Burón, Francisco",2023,Classification of astronomical objects,https://repositorio.uchile.cl/handle/2250/194980
"Carmona González, Daniel Andrés","Estévez Valencia, Pablo","Reyes Jainaga, Ignacio; Forster Burón, Francisco",2024,Aprendizaje auto-supervisado para la detección de curvas de luz anómalas,https://repositorio.uchile.cl/handle/2250/200224
"Castiglioni Cornejo, Giovanni Antonio","Estévez Valencia, Pablo","Prieto Vásquez, Claudia; Pérez Flores, Claudio",2024,Reconocimiento de craneofaringiomas y detección de compromiso hipotalámico en imágenes de resonancia magnética utilizando aprendizaje auto-supervisado,https://repositorio.uchile.cl/handle/2250/203520
"Cholaky Mejía, Roberto Ignacio","Estévez Valencia, Pablo","Weber Haass, Richard; Sáez Hueichapan, Doris",2023,Regresión simbólica mediante redes neuronales,https://repositorio.uchile.cl/handle/2250/196752
"Cona Flores, Francisca Salomé.","Estévez Valencia, Pablo","Cortés Briones, José; Azurdia Meza, César",2023,Análisis longitudinal de electroencefalogramas de pacientes esquizofrénicos mediante aprendizaje de máquinas,https://repositorio.uchile.cl/handle/2250/198526
"Cubillos Fuentes, Gabriel Tomás","Estévez Valencia, Pablo","Pérez Flores, Claudio; Illanes López, Sebastán; Sáez Hueichapan, Doris; Cerda Villablanca, Mauricio",2024,Desarrollo de modelos de aprendizaje de máquinas para predecir enfermedades/condiciones durante el embarazo,https://repositorio.uchile.cl/handle/2250/200247
"De la Sotta Vargas, Rafael Ignacio","Estévez Valencia, Pablo","Vergara Quezada, Jorge; Calderón Muñoz, Williams; Orchard Concha, Marcos",2023,Optimización de modelo térmico paramétrico de baterías de litio mediante algoritmos evolutivos,https://repositorio.uchile.cl/handle/2250/194401
"Gamboa Labbé, Bastián Andreas","Estévez Valencia, Pablo","Förster Burón, Francisco; Cabrera Vives, Guillermo; Pérez Flores, Claudio",2024,Clasificación de curvas de luz periódicas utilizando modelos basados en mecanismos de atención,https://repositorio.uchile.cl/handle/2250/200756
"García Jara, Germán Eduardo","Estévez Valencia, Pablo","Protopapas, Pavlos; Zegers Fernández, Pablo; Pérez Flores, Claudio",2022,Improving astronomical time-series classification via data augmentation with generative adversarial networks,https://repositorio.uchile.cl/handle/2250/191827
"González Fuentes, Andrés Eduardo","Estévez Valencia, Pablo","Huijse Heise, Pablo; Forster Burón, Francisco",2024,Estimación del período correcto en curvas de luz mediante redes neuronales convolucionales,https://repositorio.uchile.cl/handle/2250/204154
"Intriago Chichanda, Jhon Alejandro","Estévez Valencia, Pablo Antonio","Hitschfeld Kahler, Nancy Viola; Bustos Cárdenas, Benjamin Eugenio; Acuña Leiva, Gonzalo Pedro Nolasco; Tobar Henríquez, Felipe Arturo",2021,Development of spiking neural networks based on Deep Learning and information theory,https://repositorio.uchile.cl/handle/2250/182802
"Montero Salvatierra, Pablo Andrés","Estévez Valencia, Pablo","Förster Burón, Francisco; Orchard Concha, Marcos",2023,Predicción de curvas de luz de supernovas mediante redes neuronales recurrentes,https://repositorio.uchile.cl/handle/2250/198592
"Muñoz Bustamante, Cristián Alexis","Estévez Valencia, Pablo","Hitschfeld Kahler, Nancy; Cerda Villablanca, Mauricio; Okuma Ponce, Cecilia",2024,Segmentación de hiperintensidades de materia blanca en base a modelos de vision transformer,https://repositorio.uchile.cl/handle/2250/202606
"Neira Ortega, Daniel Alejandro","Estévez Valencia, Pablo","Tobar Henríquez, Felipe; Huijse Heise, Pablo",2024,Clasificación de objetos astronómicos utilizando secuencias cortas de imágenes y metadatos,https://repositorio.uchile.cl/handle/2250/200346
"Pimentel Fuentes, Óscar Alberto","Estévez Valencia, Pablo","Förster Burón, Francisco; Huijse Heise, Pablo Andrés; Pérez Flores, Claudio Antonio",2022,Clasificación profunda de curvas de luz multi-banda basada en atención,https://repositorio.uchile.cl/handle/2250/187950
"Reyes De Jong, Esteban Dirk","Estévez Valencia, Pablo","Zegers Fernández, Pablo; Pérez Flores, Claudio Andrés",2021,Aprendizaje profundo para la clasificación y detección de anomalías en imágenes de objetos astronómicos,https://repositorio.uchile.cl/handle/2250/182957
"Romero Jofré, Mauricio Javier","Estévez Valencia, Pablo","Tobar Henríquez, Felipe; Forster Burón, Francisco",2022,Detección de novedades en curvas de luz basado en aprendizaje de máquinas,https://repositorio.uchile.cl/handle/2250/188470
"Tapia Rivas, Nicolás Igor","Estévez Valencia, Pablo","Pérez Flores, Claudio; Salas Fuentes, Rodrigo; Cortés Briones, José",2022,Un modelo secuencial profundo para detectar eventos en el electroencefalograma del sueño,https://repositorio.uchile.cl/handle/2250/184786
"Urrutia Gandolfo, Juan Andrés","Estévez Valencia, Pablo","Vergara Quezada, Jorge; Silva Sánchez, Jorge; Ruz Heredia, Gonzalo",2023,A mutual information based subset feature selection algorithm using a reinforce-like gradient estimator,https://repositorio.uchile.cl/handle/2250/196179
"Vargas Estay, Alonso Ignacio","Estévez Valencia, Pablo","Pérez Flores, Claudio; Salas Fuentes, Rodrigo",2023,Modelos de atención neuronal para la representación de electroencefalogramas y la detección de eventos transitorios del sueño,https://repositorio.uchile.cl/handle/2250/198343
